bound,length,time(ms),swaps,jumps,partsSorted?
1000.0, 10082.0, 2.348399, 46226.0, 352510.0, absolutelyRandom
1000.0, 30246.0, 8.8239, 140956.0, 1208637.0, absolutelyRandom
1000.0, 50410.0, 16.161001, 235689.0, 2064733.0, absolutelyRandom
1000.0, 70574.0, 24.2106, 331969.0, 3031755.0, absolutelyRandom
1000.0, 90738.0, 31.1571, 425036.0, 3988679.0, absolutelyRandom
1000.0, 110902.0, 39.9496, 521090.0, 4985911.0, absolutelyRandom
1000.0, 332706.0, 293.9022, 1565754.0, 1.6621075E7, absolutelyRandom
1000.0, 554510.0, 696.6876, 2614041.0, 2.9365228E7, absolutelyRandom
1000.0, 776314.0, 1094.179099, 3656435.0, 4.2663898E7, absolutelyRandom
1000.0, 998118.0, 1476.4298, 4699917.0, 5.5851669E7, absolutelyRandom
100000.0, 10.0, 0.001301, 10.0, 45.0, absolutelyRandom
100000.0, 30.0, 0.002201, 41.0, 258.0, absolutelyRandom
100000.0, 50.0, 0.004, 108.0, 523.0, absolutelyRandom
100000.0, 70.0, 0.0059, 148.0, 800.0, absolutelyRandom
100000.0, 90.0, 0.0074, 223.0, 1115.0, absolutelyRandom
100000.0, 110.0, 0.009201, 267.0, 1462.0, absolutelyRandom
100000.0, 330.0, 0.0366, 1134.0, 5980.0, absolutelyRandom
100000.0, 550.0, 0.0684, 2122.0, 11587.0, absolutelyRandom
100000.0, 770.0, 0.102, 3095.0, 17737.0, absolutelyRandom
100000.0, 990.0, 0.1341, 4168.0, 22785.0, absolutelyRandom
100000.0, 1210.0, 0.1757, 5342.0, 30269.0, absolutelyRandom
100000.0, 3630.0, 0.648301, 19233.0, 105194.0, absolutelyRandom
100000.0, 6050.0, 1.2057, 34446.0, 193424.0, absolutelyRandom
100000.0, 8066.0, 1.689799, 47233.0, 273974.0, absolutelyRandom
100000.0, 10082.0, 2.1781, 59798.0, 352510.0, absolutelyRandom
100000.0, 30246.0, 7.9739, 204837.0, 1208637.0, absolutelyRandom
100000.0, 50410.0, 15.6979, 360751.0, 2115142.0, absolutelyRandom
100000.0, 70574.0, 24.7184, 521204.0, 3172901.0, absolutelyRandom
100000.0, 90738.0, 32.539999, 677762.0, 4079416.0, absolutelyRandom
100000.0, 110902.0, 42.5394, 840236.0, 5207713.0, absolutelyRandom
100000.0, 332706.0, 395.221, 2674409.0, 1.7286485E7, absolutelyRandom
100000.0, 554510.0, 808.825799, 4491444.0, 2.9365228E7, absolutelyRandom
100000.0, 776314.0, 1264.4799, 6351849.0, 4.2663898E7, absolutelyRandom
100000.0, 998118.0, 1705.9084, 8231843.0, 5.6849786E7, absolutelyRandom
1.0E7, 10.0, 0.001, 11.0, 45.0, absolutelyRandom
1.0E7, 30.0, 0.0023, 54.0, 258.0, absolutelyRandom
1.0E7, 50.0, 0.0038, 90.0, 523.0, absolutelyRandom
1.0E7, 70.0, 0.0057, 157.0, 869.0, absolutelyRandom
1.0E7, 90.0, 0.007199, 210.0, 1115.0, absolutelyRandom
1.0E7, 110.0, 0.0098, 287.0, 1571.0, absolutelyRandom
1.0E7, 330.0, 0.0383, 1176.0, 6309.0, absolutelyRandom
1.0E7, 550.0, 0.0655, 2026.0, 11038.0, absolutelyRandom
1.0E7, 770.0, 0.1014, 3060.0, 17737.0, absolutelyRandom
1.0E7, 990.0, 0.133599, 4216.0, 22785.0, absolutelyRandom
1.0E7, 1210.0, 0.1707, 5352.0, 29060.0, absolutelyRandom
1.0E7, 3630.0, 0.6442, 18895.0, 105194.0, absolutelyRandom
1.0E7, 6050.0, 1.194099, 34464.0, 193424.0, absolutelyRandom
1.0E7, 8066.0, 1.6545, 46861.0, 273974.0, absolutelyRandom
1.0E7, 10082.0, 2.162201, 60991.0, 352510.0, absolutelyRandom
1.0E7, 30246.0, 7.9124, 208696.0, 1208637.0, absolutelyRandom
1.0E7, 50410.0, 16.457701, 369231.0, 2115142.0, absolutelyRandom
1.0E7, 70574.0, 24.6676, 536996.0, 3102328.0, absolutelyRandom
1.0E7, 90738.0, 32.4272, 703603.0, 4079416.0, absolutelyRandom
1.0E7, 110902.0, 41.586699, 879926.0, 5096812.0, absolutelyRandom
1.0E7, 332706.0, 384.1775, 2930222.0, 1.761919E7, absolutelyRandom
1.0E7, 554510.0, 804.620799, 5073431.0, 2.9365228E7, absolutelyRandom
